title,glass,garnish,recipe,ingredients,raw_ingredients
Scotch Adonis,Old-fashioned glass,Orange zest twist (discarded),STIR all ingredients with ice and strain into ice-filled glass (preferably over a chunk of block ice),"[['3 cl', 'Blended/vatted Scotch malt whisky'], ['3 cl', 'Oloroso sherry'], ['3 cl', 'Martini Rosso sweet vermouth'], ['1 dash', 'Orange Bitters by Angostura'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]","[['3 cl', 'blended/vatted scotch malt whisky'], ['3 cl', 'oloroso sherry'], ['3 cl', 'red vermouth'], ['1 dash', 'angostura'], ['1.5 cl', 'chilled water']]"
St Hubertus Old Fashioned,Old-fashioned glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Avallen Calvados'], ['1.5 cl', 'Rémy Martin 1738 Cognac'], ['0.75 cl', 'Jägermeister'], ['0.25 cl', 'Demerara / dark Muscovado sugar syrup (2 sugar to 1 water)']]","[['4.5 cl', 'calvados'], ['1.5 cl', 'cognac'], ['0.75 cl', 'jägermeister'], ['0.25 cl', 'demerara syrup']]"
Weep No More,Nick & Nora glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['3.75 cl', 'Dubonnet Red'], ['0.75 cl', 'Luxardo Maraschino liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)']]","[['4.5 cl', 'cognac'], ['3.75 cl', 'dubonnet red'], ['0.75 cl', 'maraschino'], ['1.5 cl', 'lime juice']]"
Salome,Coupe glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', 'Rutte Dry Gin'], ['3 cl', 'Dubonnet Red'], ['3 cl', 'Martini Extra Dry vermouth'], ['2 dash', 'Plum bitters (optional)']]","[['3 cl', 'gin'], ['3 cl', 'dubonnet red'], ['3 cl', 'dry vermouth'], ['2 dash', 'plum bitters']]"
Saucy Sue,Nick & Nora glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', 'Avallen Calvados'], ['3 cl', 'Rémy Martin 1738 Cognac'], ['0.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['1 dash', 'La Fée Parisienne absinthe']]","[['3 cl', 'calvados'], ['3 cl', 'cognac'], ['0.5 cl', 'apricot brandy liqueur'], ['1 dash', 'absinthe']]"
Black Sabbath,Coupe glass,Orange twist.,Combine and stir all ingredients with ice. Strain and garnish with twist.,"[['6 cl', 'Laphroaig 10 Year Old Islay Single Malt Scotch Whisky'], ['3 cl', 'Averna amaro'], ['1 spoon', 'Lucid Absinthe Superieure'], ['2 dash', 'Orange bitters']]","[['6 cl', 'scotch whisky'], ['3 cl', 'averna amaro'], ['1 spoon', 'absinthe'], ['2 dash', 'orange bitters']]"
Black Sabbath,Nick & Nora glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Islay single malt (peated) Scotch whisky'], ['2.25 cl', 'Averna Amaro'], ['0.25 cl', 'La Fée Parisienne absinthe'], ['1 dash', 'Orange Bitters by Angostura']]","[['4.5 cl', 'scotch whisky'], ['2.25 cl', 'averna amaro'], ['0.25 cl', 'absinthe'], ['1 dash', 'angostura']]"
Elisangela's Chelsea Sidecar,Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Gin'], ['0.75 cl', ""'Simple' sugar syrup (1 sugar to 1 water)""], ['2.5 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Triple sec liqueur (40%)']]","[['4.5 cl', 'gin'], ['0.75 cl', 'sugar syrup'], ['2.5 cl', 'lemon juice'], ['2.25 cl', 'triple sec']]"
Kingston Negroni (Zach's recipe),Old-fashioned glass,Orange twist,Pour ingredients into mixing vessel with ice. Stir. Pour into rocks glass with large ice cube.,"[['4.5 cl', 'Overproof pot still rum'], ['3 cl', 'Campari Bitter liqueur'], ['2 cl', 'Cocchi Storico Vermouth di Torino']]","[['4.5 cl', 'white rum'], ['3 cl', 'campari'], ['2 cl', 'cocchi storico vermouth di torino']]"
Life on Mars,Coupe glass,Floated lemon peel cut into the shape of a lightning bolt,Stir all ingredients with ice until well chilled and strain into coupe glass.,"[['3 cl', 'St. George Terroir Gin'], ['3 cl', 'Lillet Blanc'], ['1.5 cl', 'St. George Spiced Pear Liqueur'], ['1.5 cl', 'Campari Bitter liqueur']]","[['3 cl', 'gin'], ['3 cl', 'lillet blanc'], ['1.5 cl', 'st. george spiced pear liqueur'], ['1.5 cl', 'campari']]"
